Turkey,55.0,1,41.9,1,2.0,0,3711.0,1,32.2,1,1146.0,1,4.4,1,1.37,1,4.48,0,8.5,0,64.6,1,193.94,1,10.0,0,88.1,1,93.5,1,75667.0,1,0.0,0,32.1,1,2.5,1,0.098,1,62.52,0,0.2,0,783.0,0,7458.0,1,64.0,0,32.9,1,8538.0,1,82.5,1,2.04,0,0.838,1,24.8,0,335.0,1,09.90,0,635.0,1,78.6,1,2.3,0,28.0,0,12.0,0,19.3,0,2.1,1
Greece,298.0,1,33.1,0,10.4,1,3382.0,1,45.3,1,2403.0,1,4.1,0,-0.21,0,7.39,1,37.1,1,57.7,0,255.26,1,3.8,0,92.5,1,2.85,0,6826.0,1,0.0,0,24.9,1,0.8,0,0.028,1,36.73,0,93.0,1,112.0,0,10758.0,1,71.0,0,54.9,1,18117.0,1,75.9,1,1.34,0,0.887,1,29.9,1,107.0,0,15.40,0,1884.0,1,81.1,1,3.6,0,40.0,0,15.0,1,78.7,1,1.9432730999712502,0
Mexico,43.0,0,45.4,1,6.5,1,3157.0,1,29.3,0,1101.0,1,4.9,1,1.23,1,6.07,1,35.4,1,64.7,1,111.87,1,14.2,0,78.9,1,0.01,0,7521.0,1,0.0,0,28.9,1,28.4,1,0.27,1,48.35,0,88.9,1,13494.0,1,3104.0,1,73.0,0,24.0,0,8326.0,1,71.3,1,2.08,0,0.758,1,26.0,1,166.0,1,21.00,0,231.0,0,76.0,1,5.3,0,21.0,0,14.0,1,58.6,1,1.9884117872504536,0
Portugal,128.0,1,32.8,0,12.3,1,3480.0,1,44.6,1,3285.0,1,4.9,1,-0.39,0,7.9,1,8.0,0,65.3,1,205.04,1,3.7,0,80.5,1,0.4,0,7868.0,1,0.6,1,20.8,1,0.9,0,0.021,1,150.39,1,84.3,1,-7699.413367624686,0,9935.0,1,72.0,0,25.7,0,22413.0,1,74.1,1,1.4,0,0.866,1,31.0,1,111.0,0,15.15,0,2821.0,1,81.6,1,7.2,0,33.0,0,12.260578719866519,0,91.1,1,1.9588099863758177,0
South Korea,33.0,0,31.4,0,10.2,1,3420.0,1,43.2,1,3241.0,1,5.1,1,0.36,0,8.01,1,2.0,0,72.3,1,29.05,0,3.2,0,51.019419800264814,0,0.1,0,63476.0,1,22.9,1,4.7,0,0.6,0,0.00068,0,241.58,1,23.172626711853987,0,3724.7698125079332,1,19986.0,1,33.0,0,28.5,0,31947.0,1,95.4,1,0.84,0,0.925,1,29.0,1,105.0,0,11.50,0,1762.0,1,83.3,1,21.2,1,69.0,1,12.0,0,48.0,1,2.8,1
Indonesia,30.0,0,37.9,1,0.8,0,2884.0,1,31.1,1,335.0,0,3.6,0,1.05,0,6.3,1,136.0,1,65.8,1,14.82,0,23.9,1,70.1,1,86.7,1,135081.0,1,0.8,1,6.9,0,0.4,0,0.00068,0,49.58413398606092,0,10.72,0,2389.0,0,2449.0,0,96.0,1,35.4,1,3870.0,0,71.6,1,2.27,1,0.705,0,20.0,0,93.0,0,25.85,1,181.0,0,71.3,0,2.6,0,11.0,0,12.0,0,8.3,0,2.0979202203725413,1
Poland,60.0,1,30.2,0,11.6,1,3537.0,1,41.9,1,2022.0,1,4.6,1,-0.17,0,6.85,1,8.0,0,67.8,1,205.39,1,4.4,0,93.0,1,0.02,0,21130.0,1,0.0,0,23.1,1,0.7,0,0.03,1,130.98,1,94.3,1,470.0,0,9358.0,1,50.0,0,39.6,1,15764.0,1,90.6,1,1.38,0,0.876,1,27.0,1,181.0,1,07.85,0,1364.0,1,78.3,1,9.3,1,43.0,1,13.0,0,78.1,1,2.1,1
Argentina,72.0,1,42.3,1,9.8,1,3307.0,1,32.4,1,2217.0,1,5.5,1,0.94,0,6.95,1,-44.97573418426438,0,52.2,0,195.08,1,9.3,0,97.9,1,0.9,0,28010.0,1,0.0,0,28.3,1,5.3,1,1.2,1,51.51,0,77.0,1,10720.0,1,7466.0,1,65.0,0,34.0,1,8476.0,1,74.1,1,2.23,1,0.842,1,33.2,1,230.0,1,14.80,0,341.0,1,76.6,1,8.1,0,31.281060002634995,0,16.0,1,79.7,1,1.960928190029151,0
Malaysia,68.0,1,41.1,1,0.9,0,2845.0,0,29.2,0,1033.0,1,4.7,1,1.35,1,7.19,1,329.21600915349677,1,74.0,1,25.28,0,8.6,0,47.1,0,63.5,1,15354.0,1,19.8,1,15.6,0,2.1,0,2.513461288526477,1,103.34,1,9.2,0,15604.0,1,2665.0,1,96.0,1,29.5,0,10402.0,1,75.5,1,1.97,0,0.803,1,25.0,0,212.0,1,25.40,1,1135.0,1,74.7,1,5.8,0,31.072173942099127,0,10.0,0,50.9,1,2.307393023815913,1
Ireland,701.0,1,30.6,0,13.0,1,3885.0,1,37.8,1,5862.0,1,3.7,0,0.78,0,9.05,1,16.0,0,80.5,1,291.86,1,3.3,0,66.45186757713505,1,1.4,0,20891.52400430446,1,0.2,1,25.3,1,0.7,0,0.018,1,112.81,1,83.8,1,25767.49909081575,1,25184.0,1,54.0,0,35.6,1,86251.0,1,80.7,1,1.63,0,0.945,1,34.8,1,74.0,0,09.30,0,3309.0,1,81.8,1,8.9,1,52.0,1,10.0,0,106.3,1,1.8633457354893905,0
Ukraine,81.0,1,25.6,0,8.6,1,3102.0,1,41.2,1,904.0,1,5.4,1,-0.49,0,5.81,1,168.0,1,52.3,0,145.03,1,8.4,0,100.0,1,1.05,0,24416.0,1,0.0,0,24.1,1,6.2,1,0.3,1,67.52,0,81.9,1,753.0,0,2858.0,1,46.0,0,37.7,1,3557.0,0,71.4,1,1.22,0,0.773,1,25.0,0,148.0,1,08.30,0,434.0,1,73.0,0,17.7,1,44.10456923122442,1,14.0,1,32.3,0,2.0204416474825155,0
United Arab Emirates,59.0,1,26.0,0,3.8,0,3314.0,1,38.4,1,2995.0,1,1.3,0,1.39,1,2.7,0,334.9247065071082,1,77.1,1,132.66,1,7.5,0,42.1,0,72.0,1,293.0,0,2.0,1,31.7,1,0.5,0,0.21170614551219558,1,151.09,1,9.0,0,333062.0,1,8317.088745458572,1,76.0,0,19.4,0,36285.0,1,95.2,1,1.37,0,0.911,1,25.3,1,104.0,0,26.65,1,1061.0,1,76.1,1,5.2,0,46.24950556452701,1,7.0,0,74.4,1,2.6744772596005673,1
Saudi Arabia,31.0,0,45.9,1,0.2,0,3307.0,1,30.8,1,2696.0,1,5.6,1,1.9,1,2.08,0,236.2472727737831,1,60.7,1,83.65,0,6.6,0,51.4,0,96.2,1,2387.0,0,0.3,1,35.4,1,1.3,0,0.7577721426997801,1,90.24,1,5.0,0,265991.0,1,9600.0,1,96.0,1,14.2,0,20110.0,1,75.2,1,2.24,1,0.875,1,20.4,0,207.0,1,24.65,1,1037.0,1,74.3,0,5.4,0,26.0,0,12.0,0,44.6,1,6.6,1
Mauritius,2.01,0,36.8,1,3.6,0,3051.0,1,36.3,1,1303.0,1,4.8,1,0.23,0,8.14,1,160.15946601540898,1,73.0,1,117.27,1,16.0,1,64.6,1,17.3,1,80.0,0,0.0,0,10.8,0,2.9,1,1.1236861859398424,1,135.31972570367623,1,32.2,0,48349.20224163786,1,2538.0,0,73.10933130467606,0,25.5,0,8587.0,1,54.1,0,1.44,0,0.802,1,25.4,1,218.0,1,22.40,1,356.0,1,74.1,0,8.8,1,39.046922374932315,0,0.0,0,39.6,1,2.1864412390246355,1
New Zealand,90.0,1,36.2,1,10.7,1,3191.0,1,37.2,1,3891.0,1,6.4,1,0.93,0,9.25,1,12.0,0,84.4,1,137.25,1,4.7,0,73.08969783916311,1,0.9,0,3600.0,1,1.6,1,30.8,1,2.6,1,0.051,1,153.88,1,37.0,0,1607.0,0,31274.0,1,18.0,0,29.6,0,43972.0,1,83.3,1,1.61,0,0.937,1,29.4,1,188.0,1,10.55,0,3286.0,1,82.0,1,10.3,1,39.0,0,10.0,0,142.1,1,2.349113130147943,1
Chile,82.0,1,44.9,1,9.3,1,3029.0,1,35.5,1,2359.0,1,5.4,1,0.78,0,8.28,1,7.4,0,75.4,1,116.11,1,7.0,0,89.9,1,0.0,0,5641.0,1,0.0,0,28.0,1,4.4,1,0.11,1,176.48,1,68.0,1,252.0,0,5328.0,1,60.0,0,46.9,1,13232.0,1,76.3,1,1.61,0,0.855,1,32.6,1,210.0,1,08.45,0,871.0,1,80.7,1,8.0,0,27.0,0,14.0,1,66.4,1,1.9293026199976728,0
