Country,gdp_debt,gini % ,alcohol consumption 2016,Average daily dietary energy consumption per capita(kilocalories),Median Age 2020,health expenditure per capita 2018,spending on education(% GDP),population growth,democracy index 2020,Homelessness population per 10k,Economic Freedom Score,milk consumption per capita(2013),"2019 mortality rate, under-5 (per 1000 live births)",literacy rate elderly(+65),% Islam,titles(total),% Buddhists,Obesity rate (%),intentional homicide Rate,% Jewish,Averagedownloadspeed(Mbit/s)(Ookla),% Christians,Oil production per capita2021 (bbl/day/million people),Anual nominal US,yes important %,Prevalecence of tobacco use 2000,gdp estimate un,number of internet users %,Fertility rate  in 2020(births/woman),HDI 2021,Age of first marriage(woman),Incarceration rate per 100000,Average yearly temperature (1961–1990 Celsius),Scientific publications per capita (in ppm),Life expentacy at birth,Total Suicides per 100 000,Equivalent to a 2-year degree or higher(%),Age of criminal responsibility,kg per capita 2002,military expenditures %gdp
Mauritius,2.01,36.8,3.6,3051.0,36.3,1303.0,4.8,0.23,8.14,NA,73.0,117.27,16.0,64.6,17.3,80.0,0.0,10.8,2.9,NA,NA,32.2,NA,2538.0,NA,25.5,8587.0,54.1,1.44,0.802,25.4,218.0,22.40,356.0,74.1,8.8,NA,0.0,39.6,NA
New Zealand,90.0,36.2,10.7,3191.0,37.2,3891.0,6.4,0.93,9.25,12.0,84.4,137.25,4.7,NA,0.9,3600.0,1.6,30.8,2.6,0.051,153.88,37.0,1607.0,31274.0,18.0,29.6,43972.0,83.3,1.61,0.937,29.4,188.0,10.55,3286.0,82.0,10.3,39.0,10.0,142.1,NA
Chile,82.0,44.9,9.3,3029.0,35.5,2359.0,5.4,0.78,8.28,7.4,75.4,116.11,7.0,89.9,0.0,5641.0,0.0,28.0,4.4,0.11,176.48,68.0,252.0,5328.0,60.0,46.9,13232.0,76.3,1.61,0.855,32.6,210.0,08.45,871.0,80.7,8.0,27.0,14.0,66.4,NA
Kazakhstan,91.0,27.8,7.7,3067.0,31.6,727.0,2.8,1.13,3.14,0.6,65.4,288.12,10.5,99.5,70.2,1226.0,0.2,21.0,3.2,0.017,56.12,26.2,91149.0,797.0,53.0,34.2,9111.0,72.5,3.13,0.811,24.3,157.0,05.50,279.0,74.0,18.1,NA,14.0,44.8,NA
Qatar,83.0,41.1,2.0,NA,33.7,3047.0,2.9,2.36,3.24,NA,72.6,NA,6.5,41.0,77.5,209.0,3.1,35.1,0.4,NA,105.2,13.8,465768.0,NA,93.0,13.5,50815.0,94.2,1.83,0.855,25.4,53.0,27.15,1815.0,77.2,4.7,NA,NA,90.5,NA
Egypt,34.0,31.5,0.4,3292.0,24.1,551.0,3.8,1.87,2.93,1200.0,52.5,59.46,20.3,43.2,92.35,23000.0,0.0,32.0,2.6,0.00068,39.66,10.0,5387.0,NA,96.0,24.3,3609.0,50.1,3.24,0.731,25.0,116.0,22.10,298.0,71.8,3.4,NA,12.0,22.5,NA
Thailand,33.0,35.0,8.3,2804.0,39.0,700.0,4.1,0.22,6.04,0.4,68.3,29.35,9.0,78.7,5.4,6750.0,93.2,10.0,2.6,0.0014,206.81,1.2,2647.0,3220.0,98.0,31.7,7189.0,75.5,1.5,0.8,21.0,449.0,26.30,312.0,77.7,8.0,NA,7.0,27.9,NA
Hungary,160.0,30.0,11.4,3316.0,43.6,2098.0,4.7,-0.34,6.56,30.7,65.0,159.05,3.7,99.1,0.5,11645.0,0.0,26.4,0.8,0.32,193.8,58.935,1830.0,6373.0,39.0,37.4,16129.0,76.8,1.56,0.846,29.3,169.0,09.75,1250.0,76.4,11.8,32.0,12.0,100.7,NA
South Africa,57.0,63.0,9.3,2899.0,28.0,1155.0,6.2,1.2,7.05,36.0,58.3,55.75,34.5,72.1,1.9,5418.0,0.2,28.3,33.5,0.35,43.91,79.8,16.0,3671.0,85.0,23.5,5094.0,53.6,2.36,0.713,33.0,248.0,17.75,472.0,65.3,23.5,14.0,12.0,39.0,NA
Czech Republic,76.0,25.3,14.4,3277.0,43.3,3079.0,5.6,0.06,7.67,22.0,73.7,195.2,3.2,NA,0.15,17330.0,0.0,26.0,0.7,0.026,85.89,34.0,160.0,8683.0,16.0,34.2,22911.0,79.5,1.71,0.889,29.8,179.0,07.55,2358.0,79.1,9.5,31.0,15.0,77.3,NA
