Countries,LE at birth All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,
Antigua and Barbuda,76.5,74.9,78.0,3.1,1.9,67.0,66.2,67.7,1.5,1.5,20.6,19.8,21.3,1.5,0.3,15.8,15.3,16.3,1.0,0.1,
Hungary,76.4,73.1,79.6,6.5,5.1,67.2,65.0,69.3,4.3,4.2,20.2,17.7,22.3,4.6,2.2,15.3,13.4,16.8,3.4,1.7,
Lebanon,76.4,74.0,79.2,5.2,1.8,66.0,65.1,67.0,1.9,1.3,20.5,18.8,22.4,3.6,0.7,15.0,13.9,16.2,2.3,0.1,
Trinidad and Tobago,76.1,72.5,79.9,7.4,6.4,66.2,64.0,68.6,4.6,4.8,22.7,20.4,25.0,4.6,4.6,17.2,15.6,18.9,3.3,3.2,
United Arab Emirates,76.1,75.1,78.4,3.3,2.9,66.0,65.8,66.2,0.4,2.1,19.9,19.2,21.7,2.5,1.2,14.5,14.1,15.3,1.2,0.9,
Armenia,76.0,72.5,79.2,6.7,4.1,67.1,64.9,69.1,4.2,3.6,20.4,18.2,22.1,3.9,1.6,15.7,14.2,16.9,2.7,1.2,
Barbados,76.0,74.3,77.7,3.4,1.5,67.0,66.2,67.7,1.5,1.0,20.9,19.9,21.8,1.9,0.2,16.3,15.7,16.9,1.2,-0.1,
Lithuania,76.0,71.2,80.4,9.2,4.0,66.7,63.4,69.7,6.3,3.6,20.9,17.6,23.5,5.9,1.4,15.9,13.4,17.8,4.4,1.2,
Jamaica,76.0,74.4,77.7,3.3,1.8,66.6,65.9,67.3,1.4,1.2,21.3,20.1,22.6,2.5,0.3,16.4,15.5,17.3,1.8,0.1,
Mexico,76.0,73.1,78.9,5.8,1.6,65.8,64.3,67.2,2.9,1.2,21.8,20.5,23.1,2.6,0.2,16.1,15.3,16.8,1.5,0.3,
Montenegro,75.9,73.2,78.7,5.5,2.3,67.0,65.2,68.7,3.5,1.8,19.4,17.4,21.3,3.9,0.2,14.9,13.5,16.3,2.8,0.0,
Serbia,75.9,73.5,78.3,4.8,4.5,66.9,65.4,68.4,3.0,3.5,19.6,17.9,21.1,3.2,2.5,14.9,13.7,16.0,2.3,1.7,
Brazil,75.9,72.4,79.4,7.0,4.4,65.4,63.4,67.4,4.0,3.7,21.9,20.1,23.5,3.4,2.2,16.4,15.2,17.4,2.2,1.6,
Bahrain,75.8,75.0,77.0,2.0,5.3,65.9,66.0,65.5,-0.5,4.0,19.0,18.7,19.4,0.7,4.0,13.8,13.8,13.9,0.1,2.7,
Paraguay,75.8,73.1,78.8,5.7,1.0,65.8,64.5,67.3,2.8,0.8,21.8,20.2,23.5,3.3,-0.2,16.5,15.4,17.6,2.2,-0.3,
Libya,75.8,74.2,77.3,3.1,1.4,65.2,64.9,65.5,0.6,0.6,21.3,20.5,21.9,1.4,0.3,15.5,15.3,15.8,0.5,-0.1,
Romania,75.6,72.0,79.3,7.3,4.2,66.8,64.3,69.4,5.1,3.5,20.3,17.8,22.4,4.6,2.1,15.7,13.8,17.3,3.5,1.6,
Latvia,75.4,70.6,79.8,9.2,5.2,66.2,62.9,69.3,6.4,4.6,20.5,17.2,23.0,5.8,2.2,15.6,13.2,17.4,4.2,1.7,
Bulgaria,75.1,71.6,78.6,7.0,3.5,66.3,63.9,68.7,4.8,2.8,19.8,17.4,22.0,4.6,2.2,15.2,13.4,16.9,3.5,1.5,
Nicaragua,75.0,72.1,77.9,5.8,1.7,65.5,63.7,67.2,3.5,1.8,20.0,18.0,21.9,3.9,-0.1,15.1,13.7,16.3,2.6,0.0,
El Salvador,75.0,70.6,79.1,8.5,2.5,64.9,61.6,67.8,6.2,2.2,22.1,20.4,23.6,3.2,0.7,16.4,15.1,17.4,2.3,0.3,
North Macedonia,74.8,72.8,76.9,4.1,3.7,66.1,65.1,67.3,2.2,2.9,18.3,17.0,19.6,2.6,1.9,14.0,13.1,14.9,1.8,1.3,
Belarus,74.8,69.7,79.6,9.9,6.0,66.0,62.3,69.4,7.1,5.2,19.7,16.0,22.5,6.5,2.5,15.1,12.3,17.2,4.9,2.0,
