Country/Territory,Rank,Combined,2020 Combined,Male,Female,Difference
Papua New Guinea,173,23.1,24.0,24.0,24.0,0
Paraguay,130,28.2,29.7,29.5,29.9,0.4
Peru,140,28.0,29.1,28.3,29.9,1.6
Philippines,170,23.5,24.1,23.6,24.6,1
Poland,40,40.7,41.9,40.3,43.6,3.3
Portugal,13,42.2,44.6,42.7,46.5,3.8
Puerto Rico,26,41.5,43.6,41.6,45.3,3.7
Qatar,97,33.2,33.7,35.0,28.2,-6.8
Romania,35,41.1,42.5,41.0,44.0,3
Russia,53,39.6,40.3,37.5,43.2,5.7
Rwanda,202,19.0,19.7,18.9,20.4,1.5
Saint Barthelemy,8,44.1,45.6,45.5,45.8,0.3
"Saint Helena, Ascension, and Tristan da Cunha",31,41.9,43.2,43.2,43.3,0.1
Saint Kitts and Nevis,80,35.0,36.5,36.7,36.3,-0.4
Saint Lucia,76,34.8,36.9,35.7,38.0,2.3
Saint Martin,101,32.5,33.3,32.5,34.1,1.6
Saint Pierre and Miquelon,3,46.5,48.5,47.9,49.0,1.1
Saint Vincent and the Grenadines,87,33.6,35.3,35.4,35.1,-0.3
Samoa,161,24.4,25.6,25.3,26.0,0.7
San Marino,10,44.4,45.2,43.9,46.3,2.4
Sao Tome and Principe,207,18.4,19.3,18.9,19.7,0.8
Saudi Arabia,121,27.5,30.8,33.0,27.9,-5.1
Senegal,206,18.8,19.4,18.5,20.3,1.8
Serbia,27,42.6,43.4,41.7,45.0,3.3
Seychelles,77,35.4,36.8,36.3,37.4,1.1
Sierra Leone,209,19.0,19.1,18.5,19.7,1.2
Singapore,83,34.6,35.6,35.4,35.7,0.3
Sint Maarten,47,41.0,41.1,39.6,42.7,3.1
Slovakia,42,40.5,41.8,40.1,43.6,3.5
Slovenia,11,44.5,44.9,43.4,46.6,3.2
Solomon Islands,178,22.5,23.5,23.2,23.7,0.5
Somalia,213,18.1,18.5,18.7,18.3,-0.4
South Africa,144,27.1,28.0,27.9,28.1,0.2
South Sudan,211,17.3,18.6,18.9,18.3,-0.6
Spain,20,42.7,43.9,42.7,45.1,2.4
Sri Lanka,98,32.8,33.7,32.3,35.1,2.8
Sudan,214,19.9,18.3,18.1,18.5,0.4
Suriname,119,29.8,31.0,30.6,31.4,0.8
Sweden,48,41.2,41.1,40.1,42.1,2
Switzerland,34,42.4,42.7,41.7,43.7,2
Syria,179,24.3,23.5,23.0,24.0,1
Taiwan,37,40.7,42.3,41.5,43.1,1.6
Tajikistan,164,24.5,25.3,24.6,26.0,1.4
Tanzania,215,17.7,18.2,17.9,18.4,0.5
Thailand,60,37.7,39.0,37.8,40.1,2.3
East Timor,203,18.9,19.6,18.9,20.2,1.3
Togo,199,19.8,20.0,19.7,20.3,0.6
Tonga,171,23.0,24.1,23.6,24.5,0.9
Trinidad and Tobago,68,36.0,37.8,37.3,38.3,1
Tunisia,108,31.6,32.7,32.0,33.3,1.3
Turkey,112,30.9,32.2,31.7,32.8,1.1
Turkmenistan,137,27.9,29.2,28.7,29.7,1
Turks and Caicos Islands,91,33.3,34.6,34.9,34.4,-0.5
Tuvalu,154,25.7,26.6,25.6,27.6,2
Uganda,229,15.8,15.7,14.9,16.5,1.6
Ukraine,46,40.6,41.2,38.2,44.3,6.1
United Arab Emirates,64,30.3,38.4,40.4,31.5,-8.9
United Kingdom,51,40.5,40.6,39.6,41.7,2.1
United States,62,38.1,38.5,37.2,39.8,2.6
Uruguay,86,35.0,35.5,33.8,37.3,3.5
Uzbekistan,125,28.6,30.1,29.4,30.7,1.3
Vanuatu,181,22.0,23.0,22.6,23.5,0.9
Venezuela,126,28.3,30.0,29.4,30.7,1.3
Vietnam,113,30.5,31.9,30.8,33.0,2.2
Virgin Islands,43,41.0,41.8,40.6,42.8,2.2
Wallis and Futuna,94,32.2,34.0,33.1,35.1,2
Palestine (West Bank),183,21.1,21.9,21.7,22.2,0.5
Western Sahara (2018 & 2019 estimates),186,21.1,21.5,21.0,21.9,0.9
World,120,30.6,31.0,30.3,31.8,1.5
Yemen (2016 & 2018 estimates),201,19.5,19.8,19.6,19.9,0.3
Zambia,223,16.8,16.9,16.7,17.0,0.3
Zimbabwe,192,20.0,20.5,20.3,20.6,0.3
