Location,Region,Count,"Rate per 100,000",Male (%),Female (%),National (%),Foreign (%),Occupancy (%),Remand (%)
Mozambique,Africa,"19,832",63,97.1,2.9,98.5,1.5,210.7,33.1
Myanmar *,Asia,"92,000",171,87.7,12.3,99.3,0.7,139.4,15.1
Namibia *,Africa,"7,400",295,97.1,2.9,94.5,5.5,72.7,54.0
Nauru *,Oceania,14,140,92.9,7.1,93.3,6.7,14.0,25.0
Nepal *,Asia,"26,118",86,94.4,5.6,94.7,5.3,153.7,55.1
Netherlands,Europe,"10,887",63,94.5,5.5,77.1,22.9,74.4,29.2
New Caledonia,Oceania,440,154,98.9,1.1,,,106.3,12.1
New Zealand *,Oceania,"9,469",188,93.4,6.6,97.0,3.0,93.8,36.5
Nicaragua,Americas,"20,918",332,94.6,5.4,97.1,2.9,177.6,21.4
Niger,Africa,"10,723",47,96.8,3.2,,,101.6,53.8
Nigeria *,Africa,"67,631",32,98.1,1.9,99.7,0.3,146.8,72.7
North Korea * [Note],Asia,,,,,,,,
North Macedonia,Europe,"2,175",105,96.7,3.3,93.3,6.7,72.0,13.7
Northern Ireland * [Note],Europe,"1,405",74,97.3,2.7,88.4,11.6,79.9,34.1
Northern Mariana Islands,Oceania,175,313,94.2,5.8,,,53.8,
Norway *,Europe,"2,653",49,93.7,6.3,71.0,29.0,73.0,25.2
Oman *,Asia,"1,960",45,95.5,4.5,69.7,30.3,,5.6
Pakistan *,Asia,"77,275",38,98.4,1.6,98.8,1.2,133.8,62.1
Palau,Oceania,94,522,95.7,4.3,93.5,6.5,162.1,4.1
Panama *,Americas,"18,174",420,94.8,5.2,89.9,10.1,124.6,39.2
Papua New Guinea *,Oceania,"5,087",62,95.1,4.9,99.6,0.4,116.5,34.4
Paraguay *,Americas,"16,804",241,94.1,5.9,95.8,4.2,143.1,77.3
Peru *,Americas,"96,440",290,94.5,5.5,97.6,2.4,240.3,37.0
Philippines *,Asia,"215,000",200,89.0,11.0,99.7,0.3,463.6,75.1
Poland *,Europe,"68,852",181,95.4,4.6,98.2,1.8,84.3,12.8
Portugal *,Europe,"11,463",111,93.0,7.0,85.0,15.0,88.9,19.0
Puerto Rico *,Americas,"8,884",278,96.3,3.7,,,86.3,13.1
Qatar *,Asia,"1,150",53,85.3,14.7,26.7,73.3,,44.0
South Korea *,Asia,"53,920",105,92.7,7.3,95.3,4.7,112.0,35.1
Réunion,Africa,"1,066",118,97.4,2.6,,,89.1,21.5
Romania *,Europe,"22,250",116,95.4,4.6,99.0,1.0,120.5,10.4
Russia *,Europe,"469,283",325,91.7,8.3,93.8,6.2,67.8,23.3
Rwanda,Africa,"65,000",511,92.6,7.4,99.7,0.3,101.3,7.5
Samoa,Oceania,400,204,94.0,6.0,99.5,0.5,121.2,14.0
San Marino,Europe,2,6,100.0,0.0,100.0,0.0,16.7,0.0
São Tomé and Príncipe,Africa,253,116,96.0,4.0,99.2,0.8,126.5,32.8
Saudi Arabia *,Asia,"68,056",207,98.1,1.9,51.0,49.0,,48.3
Scotland * [Note],Europe,"7,368",134,96.0,4.0,96.1,3.9,86.6,26.5
Senegal,Africa,"11,547",68,97.3,2.7,89.3,10.7,129.7,39.7
Serbia *,Europe,"10,900",158,95.9,4.1,97.1,2.9,105.6,15.6
Seychelles,Africa,320,324,93.7,6.3,98.7,1.3,53.8,12.5
Sierra Leone,Africa,"4,732",60,98.5,1.5,99.5,0.5,220.2,29.5
Singapore *,Asia,"11,198",185,88.9,11.1,89.0,11.0,79.2,10.6
Sint Maarten,Americas,62,153,95.0,5.0,79.8,20.2,125.4,18.1
Slovakia *,Europe,"10,415",190,92.6,7.4,98.0,2.0,89.6,15.3
Slovenia *,Europe,"1,122",53,95.2,4.8,70.2,29.8,84.4,26.0
Solomon Islands,Oceania,479,77,98.3,1.7,99.0,1.0,77.7,46.8
Somalia [Note],Africa,,,,,,,,
South Africa *,Africa,"147,922",248,97.4,2.6,92.5,7.5,124.8,35.7
South Sudan,Africa,"7,000",50,89.1,10.9,,,,28.9
Spain *,Europe,"57,680",122,92.6,7.4,71.9,28.1,77.9,16.0
Sri Lanka *,Asia,"28,915",135,95.1,4.9,98.6,1.4,190.6,58.9
Saint Kitts and Nevis *,Americas,220,393,96.4,3.6,97.9,2.1,144.0,30.5
Saint Lucia *,Americas,503,263,97.5,2.5,97.0,3.0,105.4,53.5
Saint Vincent and the Grenadines,Americas,410,369,96.6,3.4,96.2,3.8,79.8,24.3
Sudan *,Africa,"21,000",52,98.0,2.0,99.0,1.0,255.3,20.4
Suriname *,Americas,"1,000",183,97.2,2.8,80.7,19.3,75.2,50.0
Sweden *,Europe,"7,000",68,94.4,5.6,77.9,22.1,101.6,27.2
Switzerland *,Europe,"6,906",80,94.2,5.8,30.4,69.6,93.5,42.2
Syria,Asia,"10,599",60,92.6,7.4,92.7,7.3,65.6,50.5
Taiwan *,Asia,"56,693",241,91.0,9.0,99.3,0.7,114.8,4.1
Tajikistan,Asia,"9,317",121,98.4,1.6,95.1,4.9,61.5,15.0
Tanzania,Africa,"35,803",59,96.6,3.4,96.3,3.7,115.7,51.0
Thailand *,Asia,"311,605",449,87.8,12.2,95.6,4.4,339.1,19.2
East Timor,Asia,695,52,95.9,4.1,96.2,3.8,185.3,23.2
Togo,Africa,"5,277",67,97.0,3.0,94.8,5.2,194.0,64.2
Tonga *,Oceania,176,166,95.5,4.5,100.0,0.0,81.5,7.4
